"","DateAdded","RiskCopy","CountyReporting","TravelLabel","TravelStatus","DateAddedCopy","Risk","BigIslandCnt","OahuCnt","KauaiCnt","MauiCnt","Count","TotNumber"
"179",2020-04-20,"Community-Associated","Maui","No Travel History","No Travel History",2020-04-20,"Community-Associated",0,0,0,1,1,1
"180",2020-04-20,"Travel-Associated (Resident)","Maui","Travel History","Travel History",2020-04-20,"Travel-Associated (Resident)",0,0,0,1,1,1
"181",2020-04-21,"Community-Associated","Hawaii","No Travel History","No Travel History",2020-04-21,"Community-Associated",3,0,0,0,3,3
"182",2020-04-21,"Community-Associated","Honolulu","No Travel History","No Travel History",2020-04-21,"Community-Associated",0,2,0,0,2,2
"183",2020-04-21,"Community-Associated","Maui","No Travel History","No Travel History",2020-04-21,"Community-Associated",0,0,0,1,1,1
"184",2020-04-22,"Community-Associated","Hawaii","No Travel History","No Travel History",2020-04-22,"Community-Associated",1,0,0,0,1,1
"185",2020-04-22,"Community-Associated","Honolulu","No Travel History","No Travel History",2020-04-22,"Community-Associated",0,2,0,0,2,2
"186",2020-04-22,"Community-Associated","Maui","No Travel History","No Travel History",2020-04-22,"Community-Associated",0,0,0,2,2,2
"187",2020-04-23,"Community-Associated","Hawaii","No Travel History","No Travel History",2020-04-23,"Community-Associated",1,0,0,0,1,1
"188",2020-04-23,"Community-Associated","Honolulu","No Travel History","No Travel History",2020-04-23,"Community-Associated",0,1,0,0,1,1
"189",2020-04-23,"Community-Associated","Maui","No Travel History","No Travel History",2020-04-23,"Community-Associated",0,0,0,1,1,1
"190",2020-04-24,"Community-Associated","Honolulu","No Travel History","No Travel History",2020-04-24,"Community-Associated",0,2,0,0,2,2
"191",2020-04-25,"Community-Associated","Hawaii","No Travel History","No Travel History",2020-04-25,"Community-Associated",1,0,0,0,1,1
"192",2020-04-25,"Travel-Associated (Resident)","Honolulu","Travel History","Travel History",2020-04-25,"Travel-Associated (Resident)",0,1,0,0,1,1
"193",2020-04-26,"Community-Associated","Maui","No Travel History","No Travel History",2020-04-26,"Community-Associated",0,0,0,1,1,1
"194",2020-04-27,"Community-Associated","Maui","No Travel History","No Travel History",2020-04-27,"Community-Associated",0,0,0,1,1,1
"195",2020-04-28,"Community-Associated","Honolulu","No Travel History","No Travel History",2020-04-28,"Community-Associated",0,1,0,0,1,1
"196",2020-04-28,"Travel-Associated (Resident)","Honolulu","Travel History","Travel History",2020-04-28,"Travel-Associated (Resident)",0,2,0,0,2,2
"197",2020-04-28,"Community-Associated","Maui","No Travel History","No Travel History",2020-04-28,"Community-Associated",0,0,0,1,1,1
"198",2020-04-29,"Community-Associated","Hawaii","No Travel History","No Travel History",2020-04-29,"Community-Associated",3,0,0,0,3,3
